,id,date_insert,sensor_id,wtempV_°C,conductivity_of_solution_ mS_cm,oxidation_reduction_potential_ mV,total_suspended_solids_mg_L,turbidity_NTU,dissolved_oxygen_concentration _ppm,dissolved_oxygen_concentration_mg_L,oxygen_saturation_%,salinity_ppt,dissolved_solids _ppm,location
2,3.0,2025-07-03 15:00:00,976,24.96,56828.55,-170.59,63.73,80.74,7.91,7.91,95.62,37.99,37057.9,Ακταίο
3,4.0,2025-07-03 15:00:00,977,25.18,55496.83,-164.88,171.17,106.32,8.16,8.16,99.18,36.93,36189.48,Ψαθόπυργος
4,5.0,2025-07-03 15:00:00,978,23.61,56486.6,-42.81,37.69,20.7,9.18,9.18,108.31,37.72,36834.91,Αραχωβίτικα
5,6.0,2025-07-03 15:00:00,979,25.25,59786.27,269.63,742.15,430.33,8.01,8.01,97.41,40.39,38986.63,Άγιος Βασίλης
6,7.0,2025-07-03 15:00:00,980,23.61,63480.13,92.58,95.88,82.8,5.03,5.03,59.26,43.43,41395.39,Ρίο
7,8.0,2025-07-03 15:00:00,981,23.65,61497.69,284.7,2.26,1.02,4.55,4.55,53.87,41.79,40102.64,Καστελλόκαμπος
9,10.0,2025-07-03 15:00:00,983,25.28,16878.97,281.51,23.86,13.71,9.4,9.4,112.6,9.91,9759.42,Πλάζ
10,11.0,2025-07-03 15:00:00,984,26.19,52584.25,293.67,63.13,40.9,7.12,7.12,88.28,34.64,34290.2,Ροιτικά
13,14.0,2025-07-03 16:00:00,978,23.9,56484.6,-40.66,38.26,20.97,9.06,9.06,107.58,37.72,36833.61,Αραχωβίτικα
14,15.0,2025-07-03 16:00:00,979,25.26,60281.49,270.3,736.82,436.47,8.05,8.05,97.72,40.79,39309.56,Άγιος Βασίλης
15,16.0,2025-07-03 16:00:00,980,23.42,61999.27,92.95,98.48,79.55,5.05,5.05,59.23,42.21,40429.73,Ρίο
16,17.0,2025-07-03 16:00:00,981,23.84,61519.7,285.92,2.94,0.58,4.65,4.65,55.31,41.81,40117.0,Καστελλόκαμπος
18,19.0,2025-07-03 16:00:00,983,24.53,16521.2,282.94,25.43,14.58,9.82,9.82,117.48,9.68,9552.56,Πλάζ
19,20.0,2025-07-03 16:00:00,984,26.59,52561.42,295.4,62.84,41.26,7.07,7.07,88.28,34.63,34275.3,Ροιτικά
20,21.0,2025-07-03 17:00:00,976,24.7,56596.52,-170.08,432.16,175.68,8.01,8.01,95.85,37.81,36906.59,Ακταίο
21,22.0,2025-07-03 17:00:00,977,24.65,55559.46,-166.1,149.51,79.77,7.64,7.64,91.84,36.98,36230.32,Ψαθόπυργος
22,23.0,2025-07-03 17:00:00,978,23.81,56479.32,-41.11,38.68,21.12,8.91,8.91,105.58,37.71,36830.16,Αραχωβίτικα
23,24.0,2025-07-03 17:00:00,979,25.14,60029.84,270.49,749.56,440.91,7.86,7.86,95.36,40.59,39145.46,Άγιος Βασίλης
24,25.0,2025-07-03 17:00:00,980,22.45,62599.32,92.1,95.4,73.88,4.9,4.9,56.33,42.7,40821.02,Ρίο
25,26.0,2025-07-03 17:00:00,981,23.77,61427.94,284.23,2.14,0.0,4.47,4.47,52.78,41.74,40057.16,Καστελλόκαμπος
27,28.0,2025-07-03 17:00:00,983,24.85,15977.13,284.61,26.06,14.14,10.0,10.0,120.39,9.33,9237.97,Πλάζ
28,29.0,2025-07-03 17:00:00,984,26.46,52595.01,296.51,61.27,38.1,7.6,7.6,94.41,34.65,34297.21,Ροιτικά
29,30.0,2025-07-03 18:00:00,976,24.63,56950.69,-170.49,76.01,212.74,8.04,8.04,96.25,38.09,37137.55,Ακταίο
30,31.0,2025-07-03 18:00:00,977,24.6,55417.38,-166.25,132.32,93.99,7.52,7.52,90.22,36.86,36137.67,Ψαθόπυργος
31,32.0,2025-07-03 18:00:00,978,23.66,56470.81,-40.76,39.51,21.43,8.8,8.8,103.97,37.71,36824.62,Αραχωβίτικα
32,33.0,2025-07-03 18:00:00,979,24.9,59961.64,272.42,756.25,445.26,7.75,7.75,93.58,40.53,39100.99,Άγιος Βασίλης
33,34.0,2025-07-03 18:00:00,980,22.58,62350.32,92.94,99.85,73.14,4.93,4.93,56.74,42.5,40658.65,Ρίο
34,35.0,2025-07-03 18:00:00,981,23.26,61857.16,282.79,3.87,0.0,4.26,4.26,50.06,42.09,40337.06,Καστελλόκαμπος
36,37.0,2025-07-03 18:00:00,983,24.43,15564.93,230.93,28.18,15.45,10.42,10.42,124.47,9.07,8999.64,Πλάζ
37,38.0,2025-07-03 18:00:00,984,26.4,52680.6,298.24,57.21,35.85,7.8,7.8,96.44,34.72,34353.02,Ροιτικά
38,39.0,2025-07-03 19:00:00,976,24.66,56709.95,-171.16,135.79,237.97,7.99,7.99,96.0,37.9,36980.56,Ακταίο
39,40.0,2025-07-03 19:00:00,977,24.59,55338.77,-166.57,145.69,95.43,7.44,7.44,89.34,36.8,36086.41,Ψαθόπυργος
40,41.0,2025-07-03 19:00:00,978,23.57,56602.05,-44.47,41.14,22.33,8.3,8.3,97.75,37.81,36910.2,Αραχωβίτικα
41,42.0,2025-07-03 19:00:00,979,24.62,59888.33,274.4,764.09,451.29,7.22,7.22,86.53,40.47,39053.18,Άγιος Βασίλης
42,43.0,2025-07-03 19:00:00,980,22.65,61888.37,93.56,96.68,65.37,4.88,4.88,56.27,42.12,40357.41,Ρίο
43,44.0,2025-07-03 19:00:00,981,23.1,61691.14,287.31,6.05,1.43,4.63,4.63,54.23,41.95,40228.79,Καστελλόκαμπος
45,46.0,2025-07-03 19:00:00,983,24.42,16274.79,245.35,32.75,18.72,10.61,10.61,126.33,9.52,9410.08,Πλάζ
46,47.0,2025-07-03 19:00:00,984,26.05,52565.56,298.91,47.73,31.05,7.55,7.55,93.26,34.63,34278.0,Ροιτικά
