,Unnamed: 0,id,date_insert,sensor_id,wtempV_°C,conductivity_of_solution_ mS_cm,oxidation_reduction_potential_ mV,total_suspended_solids_mg_L,turbidity_NTU,dissolved_oxygen_concentration _ppm,dissolved_oxygen_concentration_mg_L,oxygen_saturation_%,salinity_ppt,dissolved_solids _ppm,location,Water_Quality_Label
0,2,3.0,2025-07-03 15:00:00,976,24.96,56828.55,-170.59,63.73,80.74,7.91,7.91,95.62,37.99,37057.9,Ακταίο,Ok
14,20,21.0,2025-07-03 17:00:00,976,24.7,56596.52,-170.08,432.16,175.68,8.01,8.01,95.85,37.81,36906.59,Ακταίο,Medium
22,29,30.0,2025-07-03 18:00:00,976,24.63,56950.69,-170.49,76.01,212.74,8.04,8.04,96.25,38.09,37137.55,Ακταίο,Danger
30,38,39.0,2025-07-03 19:00:00,976,24.66,56709.95,-171.16,135.79,237.97,7.99,7.99,96.0,37.9,36980.56,Ακταίο,Danger
45,56,57.0,2025-07-03 21:00:00,976,24.55,57077.96,-177.41,74.23,47.8,7.7,7.7,92.31,38.19,37220.54,Ακταίο,Ok
52,65,66.0,2025-07-03 22:00:00,976,24.41,56992.14,-178.25,60.31,37.83,7.61,7.61,90.99,38.13,37164.58,Ακταίο,Ok
59,74,75.0,2025-07-03 23:00:00,976,24.23,57045.85,-176.87,74.9,44.46,7.64,7.64,91.03,38.17,37199.6,Ακταίο,Ok
67,83,84.0,2025-07-04 00:00:00,976,24.12,56996.83,-177.35,190.24,98.3,7.63,7.63,90.88,38.13,37167.63,Ακταίο,Ok
74,92,93.0,2025-07-04 01:00:00,976,23.92,56991.82,-176.6,50.17,44.75,7.6,7.6,90.46,38.13,37164.37,Ακταίο,Ok
82,101,102.0,2025-07-04 02:00:00,976,23.9,57041.27,-176.28,41.91,27.67,7.62,7.62,90.65,38.17,37196.61,Ακταίο,Ok
90,110,111.0,2025-07-04 03:00:00,976,23.79,56967.32,-175.54,37.9,35.55,7.7,7.7,91.36,38.11,37148.39,Ακταίο,Ok
97,119,120.0,2025-07-04 04:00:00,976,23.8,56830.98,-173.95,37.23,57.96,7.82,7.82,92.84,38.0,37059.48,Ακταίο,Ok
105,128,129.0,2025-07-04 05:00:00,976,23.8,56973.43,-175.2,218.5,54.04,7.86,7.86,93.38,38.11,37152.38,Ακταίο,Ok
113,137,138.0,2025-07-04 06:00:00,976,23.77,57072.15,-175.37,83.08,45.66,7.85,7.85,93.1,38.19,37216.75,Ακταίο,Ok
121,146,147.0,2025-07-04 07:00:00,976,23.79,57064.04,-171.71,116.88,46.06,7.97,7.97,94.68,38.18,37211.46,Ακταίο,Ok
129,155,156.0,2025-07-04 08:00:00,976,23.98,57072.64,-169.51,91.25,54.96,8.01,8.01,95.37,38.19,37217.07,Ακταίο,Ok
144,173,174.0,2025-07-04 10:00:00,976,24.32,57069.35,-172.08,69.98,39.75,8.1,8.1,96.68,38.19,37214.93,Ακταίο,Ok
159,191,192.0,2025-07-04 12:00:00,976,24.63,57132.63,-166.99,267.83,43.36,8.06,8.06,96.75,38.24,37256.19,Ακταίο,Ok
