,Unnamed: 0,id,date_insert,year,month,day,hour,sensor_id,lat,lng,wtempV_°C,conductivity_of_solution_ mS_cm,oxidation_reduction_potential_ mV,total_suspended_solids_mg_L,turbidity_NTU,dissolved_oxygen_concentration _ppm,dissolved_oxygen_concentration_mg_L,oxygen_saturation_%,salinity_ppt,dissolved_solids _ppm,PC1,PC2,PC3
0,2,3.0,2025-07-03 15:00:00,2025,7,3,15,976,38.310409,21.784038,24.96,56828.55,-170.59,63.73,80.74,7.91,7.91,95.62,37.99,37057.9,-1.230143989737242,0.22390972249409363,-0.5881339028137484
1,11,12.0,2025-07-03 16:00:00,2025,7,3,16,976,38.310409,21.784038,25.16,53948.8,-171.19,389.4,261.58,7.88,7.88,95.34,35.7,35180.02,-0.8882115801279232,-7.042200108294582,3.3070377940412645
2,20,21.0,2025-07-03 17:00:00,2025,7,3,17,976,38.310409,21.784038,24.7,56596.52,-170.08,432.16,175.68,8.01,8.01,95.85,37.81,36906.59,-0.7925122446523238,-0.6969299437629591,-0.27971855582215666
3,29,30.0,2025-07-03 18:00:00,2025,7,3,18,976,38.310409,21.784038,24.63,56950.69,-170.49,76.01,212.74,8.04,8.04,96.25,38.09,37137.55,-0.4666088379993146,0.033335242913788254,-0.7803316840068477
4,38,39.0,2025-07-03 19:00:00,2025,7,3,19,976,38.310409,21.784038,24.66,56709.95,-171.16,135.79,237.97,7.99,7.99,96.0,37.9,36980.56,-0.34613700439761097,-0.6168634423994995,-0.4952922706103641
5,47,48.0,2025-07-03 20:00:00,2025,7,3,20,976,38.310409,21.784038,24.63,56174.98,-173.95,198.99,142.885,7.84,7.84,94.22,37.47,36631.71,-1.1511359892316306,-1.7860072955892068,0.12238627037078652
6,56,57.0,2025-07-03 21:00:00,2025,7,3,21,976,38.310409,21.784038,24.55,57077.96,-177.41,74.23,47.8,7.7,7.7,92.31,38.19,37220.54,-1.4307433949068495,0.4184106666783806,-1.3155692408753668
7,65,66.0,2025-07-03 22:00:00,2025,7,3,22,976,38.310409,21.784038,24.41,56992.14,-178.25,60.31,37.83,7.61,7.61,90.99,38.13,37164.58,-1.5192458157253141,0.07092327923422179,-1.3021137302725418
8,74,75.0,2025-07-03 23:00:00,2025,7,3,23,976,38.310409,21.784038,24.23,57045.85,-176.87,74.9,44.46,7.64,7.64,91.03,38.17,37199.6,-1.5400838900399731,0.10477462065206414,-1.3348891245055512
9,83,84.0,2025-07-04 00:00:00,2025,7,4,0,976,38.310409,21.784038,24.12,56996.83,-177.35,190.24,98.3,7.63,7.63,90.88,38.13,37167.63,-1.225299875624709,-0.22937223792620257,-1.3195596917659413
10,92,93.0,2025-07-04 01:00:00,2025,7,4,1,976,38.310409,21.784038,23.92,56991.82,-176.6,50.17,44.75,7.6,7.6,90.46,38.13,37164.37,-1.6888361075480278,-0.2147994758921678,-1.2773144900459739
11,101,102.0,2025-07-04 02:00:00,2025,7,4,2,976,38.310409,21.784038,23.9,57041.27,-176.28,41.91,27.67,7.62,7.62,90.65,38.17,37196.61,-1.81745430126925,-0.04313849107812432,-1.311437086970367
12,110,111.0,2025-07-04 03:00:00,2025,7,4,3,976,38.310409,21.784038,23.79,56967.32,-175.54,37.9,35.55,7.7,7.7,91.36,38.11,37148.39,-1.9022993278109763,-0.23585568919917121,-1.1320397329082543
