"id","date_insert","year","month","day","hour","sensor_id","lat","lng","wtempV_°C","conductivity_of_solution_ mS_cm","oxidation_reduction_potential_ mV","total_suspended_solids_mg_L","turbidity_NTU","dissolved_oxygen_concentration _ppm","dissolved_oxygen_concentration_mg_L","oxygen_saturation_%","salinity_ppt","dissolved_solids _ppm"
1,"2025-07-03 14:00:00",2025,7,3,14,976,"38.310409","21.784038",24.88,53426.82,,61.81,,7.84,7.84,94.68,,
2,"2025-07-03 14:00:00",2025,7,3,14,983,"38.282368","21.754868",,16356.51,,21.92,,,8.85,,,
3,"2025-07-03 15:00:00",2025,7,3,15,976,"38.310409","21.784038",24.96,56828.55,-170.59,63.73,80.74,7.91,7.91,95.62,37.99,37057.90
4,"2025-07-03 15:00:00",2025,7,3,15,977,"38.328212","21.876467",25.18,55496.83,-164.88,171.17,106.32,8.16,8.16,99.18,36.93,36189.48
5,"2025-07-03 15:00:00",2025,7,3,15,978,"38.331904","21.842924",23.61,56486.60,-42.81,37.69,20.70,9.18,9.18,108.31,37.72,36834.91
6,"2025-07-03 15:00:00",2025,7,3,15,979,"38.317789","21.818416",25.25,59786.27,269.63,742.15,430.33,8.01,8.01,97.41,40.39,38986.63
7,"2025-07-03 15:00:00",2025,7,3,15,980,"38.30971","21.779349",23.61,63480.13,92.58,95.88,82.80,5.03,5.03,59.26,43.43,41395.39
8,"2025-07-03 15:00:00",2025,7,3,15,981,"38.292904","21.766819",23.65,61497.69,284.70,2.26,1.02,4.55,4.55,53.87,41.79,40102.64
9,"2025-07-03 15:00:00",2025,7,3,15,982,"38.28469","21.759148",24.48,16274.85,277.04,3002.44,862.35,6.78,6.78,80.78,9.52,9410.12
10,"2025-07-03 15:00:00",2025,7,3,15,983,"38.282368","21.754868",25.28,16878.97,281.51,23.86,13.71,9.40,9.40,112.60,9.91,9759.42
11,"2025-07-03 15:00:00",2025,7,3,15,984,"38.183667","21.678139",26.19,52584.25,293.67,63.13,40.90,7.12,7.12,88.28,34.64,34290.20
12,"2025-07-03 16:00:00",2025,7,3,16,976,"38.310409","21.784038",25.16,53948.80,-171.19,389.40,261.58,7.88,7.88,95.34,35.70,35180.02
13,"2025-07-03 16:00:00",2025,7,3,16,977,"38.328212","21.876467",24.89,55684.03,-166.91,208.13,246.34,7.76,7.76,93.76,37.08,36311.56
14,"2025-07-03 16:00:00",2025,7,3,16,978,"38.331904","21.842924",23.90,56484.60,-40.66,38.26,20.97,9.06,9.06,107.58,37.72,36833.61
15,"2025-07-03 16:00:00",2025,7,3,16,979,"38.317789","21.818416",25.26,60281.49,270.30,736.82,436.47,8.05,8.05,97.72,40.79,39309.56
16,"2025-07-03 16:00:00",2025,7,3,16,980,"38.30971","21.779349",23.42,61999.27,92.95,98.48,79.55,5.05,5.05,59.23,42.21,40429.73
17,"2025-07-03 16:00:00",2025,7,3,16,981,"38.292904","21.766819",23.84,61519.70,285.92,2.94,0.58,4.65,4.65,55.31,41.81,40117.00
18,"2025-07-03 16:00:00",2025,7,3,16,982,"38.28469","21.759148",24.51,11784.73,272.64,2352.39,585.42,6.59,6.59,78.66,6.72,6813.93
19,"2025-07-03 16:00:00",2025,7,3,16,983,"38.282368","21.754868",24.53,16521.20,282.94,25.43,14.58,9.82,9.82,117.48,9.68,9552.56
20,"2025-07-03 16:00:00",2025,7,3,16,984,"38.183667","21.678139",26.59,52561.42,295.40,62.84,41.26,7.07,7.07,88.28,34.63,34275.30
21,"2025-07-03 17:00:00",2025,7,3,17,976,"38.310409","21.784038",24.70,56596.52,-170.08,432.16,175.68,8.01,8.01,95.85,37.81,36906.59
22,"2025-07-03 17:00:00",2025,7,3,17,977,"38.328212","21.876467",24.65,55559.46,-166.10,149.51,79.77,7.64,7.64,91.84,36.98,36230.32
23,"2025-07-03 17:00:00",2025,7,3,17,978,"38.331904","21.842924",23.81,56479.32,-41.11,38.68,21.12,8.91,8.91,105.58,37.71,36830.16
24,"2025-07-03 17:00:00",2025,7,3,17,979,"38.317789","21.818416",25.14,60029.84,270.49,749.56,440.91,7.86,7.86,95.36,40.59,39145.46
25,"2025-07-03 17:00:00",2025,7,3,17,980,"38.30971","21.779349",22.45,62599.32,92.10,95.40,73.88,4.90,4.90,56.33,42.70,40821.02
26,"2025-07-03 17:00:00",2025,7,3,17,981,"38.292904","21.766819",23.77,61427.94,284.23,2.14,0.00,4.47,4.47,52.78,41.74,40057.16
27,"2025-07-03 17:00:00",2025,7,3,17,982,"38.28469","21.759148",24.58,13343.17,281.49,1425.87,496.35,6.70,6.70,80.17,7.68,7715.02
28,"2025-07-03 17:00:00",2025,7,3,17,983,"38.282368","21.754868",24.85,15977.13,284.61,26.06,14.14,10.00,10.00,120.39,9.33,9237.97
29,"2025-07-03 17:00:00",2025,7,3,17,984,"38.183667","21.678139",26.46,52595.01,296.51,61.27,38.10,7.60,7.60,94.41,34.65,34297.21
30,"2025-07-03 18:00:00",2025,7,3,18,976,"38.310409","21.784038",24.63,56950.69,-170.49,76.01,212.74,8.04,8.04,96.25,38.09,37137.55
31,"2025-07-03 18:00:00",2025,7,3,18,977,"38.328212","21.876467",24.60,55417.38,-166.25,132.32,93.99,7.52,7.52,90.22,36.86,36137.67
32,"2025-07-03 18:00:00",2025,7,3,18,978,"38.331904","21.842924",23.66,56470.81,-40.76,39.51,21.43,8.80,8.80,103.97,37.71,36824.62
33,"2025-07-03 18:00:00",2025,7,3,18,979,"38.317789","21.818416",24.90,59961.64,272.42,756.25,445.26,7.75,7.75,93.58,40.53,39100.99
34,"2025-07-03 18:00:00",2025,7,3,18,980,"38.30971","21.779349",22.58,62350.32,92.94,99.85,73.14,4.93,4.93,56.74,42.50,40658.65
35,"2025-07-03 18:00:00",2025,7,3,18,981,"38.292904","21.766819",23.26,61857.16,282.79,3.87,0.00,4.26,4.26,50.06,42.09,40337.06
36,"2025-07-03 18:00:00",2025,7,3,18,982,"38.28469","21.759148",24.52,12610.59,275.61,1256.62,656.76,6.81,6.81,81.44,7.23,7291.44
37,"2025-07-03 18:00:00",2025,7,3,18,983,"38.282368","21.754868",24.43,15564.93,230.93,28.18,15.45,10.42,10.42,124.47,9.07,8999.64
38,"2025-07-03 18:00:00",2025,7,3,18,984,"38.183667","21.678139",26.40,52680.60,298.24,57.21,35.85,7.80,7.80,96.44,34.72,34353.02
39,"2025-07-03 19:00:00",2025,7,3,19,976,"38.310409","21.784038",24.66,56709.95,-171.16,135.79,237.97,7.99,7.99,96.00,37.90,36980.56
40,"2025-07-03 19:00:00",2025,7,3,19,977,"38.328212","21.876467",24.59,55338.77,-166.57,145.69,95.43,7.44,7.44,89.34,36.80,36086.41
41,"2025-07-03 19:00:00",2025,7,3,19,978,"38.331904","21.842924",23.57,56602.05,-44.47,41.14,22.33,8.30,8.30,97.75,37.81,36910.20
42,"2025-07-03 19:00:00",2025,7,3,19,979,"38.317789","21.818416",24.62,59888.33,274.40,764.09,451.29,7.22,7.22,86.53,40.47,39053.18
43,"2025-07-03 19:00:00",2025,7,3,19,980,"38.30971","21.779349",22.65,61888.37,93.56,96.68,65.37,4.88,4.88,56.27,42.12,40357.41
44,"2025-07-03 19:00:00",2025,7,3,19,981,"38.292904","21.766819",23.10,61691.14,287.31,6.05,1.43,4.63,4.63,54.23,41.95,40228.79
45,"2025-07-03 19:00:00",2025,7,3,19,982,"38.28469","21.759148",24.09,14398.92,276.32,1102.66,821.56,6.99,6.99,83.14,8.34,8325.46
46,"2025-07-03 19:00:00",2025,7,3,19,983,"38.282368","21.754868",24.42,16274.79,245.35,32.75,18.72,10.61,10.61,126.33,9.52,9410.08
47,"2025-07-03 19:00:00",2025,7,3,19,984,"38.183667","21.678139",26.05,52565.56,298.91,47.73,31.05,7.55,7.55,93.26,34.63,34278.00
48,"2025-07-03 20:00:00",2025,7,3,20,976,"38.310409","21.784038",24.63,56174.98,-173.95,198.99,889.69,7.84,7.84,94.22,37.47,36631.71
49,"2025-07-03 20:00:00",2025,7,3,20,977,"38.328212","21.876467",24.52,55307.37,-168.86,134.21,86.45,7.11,7.11,85.29,36.78,36065.94
50,"2025-07-03 20:00:00",2025,7,3,20,978,"38.331904","21.842924",23.54,56475.04,-48.77,40.38,21.75,8.17,8.17,96.35,37.71,36827.37
51,"2025-07-03 20:00:00",2025,7,3,20,979,"38.317789","21.818416",24.24,60082.08,276.38,783.34,459.91,6.62,6.62,78.89,40.63,39179.53
52,"2025-07-03 20:00:00",2025,7,3,20,980,"38.30971","21.779349",22.73,62070.15,92.14,99.20,67.78,4.73,4.73,54.77,42.27,40475.95
53,"2025-07-03 20:00:00",2025,7,3,20,981,"38.292904","21.766819",22.94,61228.25,290.35,10.30,1.79,5.10,5.10,59.14,41.57,39926.95
54,"2025-07-03 20:00:00",2025,7,3,20,982,"38.28469","21.759148",23.52,22630.77,275.99,1052.99,2440.94,7.01,7.01,82.77,13.64,14757.53
55,"2025-07-03 20:00:00",2025,7,3,20,983,"38.282368","21.754868",24.19,16625.14,265.81,36.54,20.98,10.58,10.58,126.03,9.75,9612.66
56,"2025-07-03 20:00:00",2025,7,3,20,984,"38.183667","21.678139",25.51,52690.36,300.15,46.99,29.75,7.56,7.56,91.22,34.72,34359.38
57,"2025-07-03 21:00:00",2025,7,3,21,976,"38.310409","21.784038",24.55,57077.96,-177.41,74.23,47.80,7.70,7.70,92.31,38.19,37220.54
58,"2025-07-03 21:00:00",2025,7,3,21,977,"38.328212","21.876467",24.51,55603.70,-171.57,143.03,88.85,6.65,6.65,79.73,37.01,36259.18
59,"2025-07-03 21:00:00",2025,7,3,21,978,"38.331904","21.842924",23.52,56401.88,-51.62,40.11,21.24,8.15,8.15,95.99,37.65,36779.67
60,"2025-07-03 21:00:00",2025,7,3,21,979,"38.317789","21.818416",24.01,60090.02,276.20,795.03,461.88,6.22,6.22,74.00,40.64,39184.71
61,"2025-07-03 21:00:00",2025,7,3,21,980,"38.30971","21.779349",22.95,62072.77,91.13,100.33,66.82,4.59,4.59,53.27,42.27,40477.65
62,"2025-07-03 21:00:00",2025,7,3,21,981,"38.292904","21.766819",22.51,89768.25,294.11,3.16,0.00,5.21,5.21,60.17,66.01,58537.88
