,id,date_insert,year,month,day,hour,sensor_id,lat,lng,wtempV_°C,conductivity_of_solution_ mS_cm,oxidation_reduction_potential_ mV,total_suspended_solids_mg_L,turbidity_NTU,dissolved_oxygen_concentration _ppm,dissolved_oxygen_concentration_mg_L,oxygen_saturation_%,salinity_ppt,dissolved_solids _ppm
2,3.0,2025-07-03 15:00:00,2025,7,3,15,976,38.310409,21.784038,24.96,56828.55,-170.59,63.73,80.74,7.91,7.91,95.62,37.99,37057.9
11,12.0,2025-07-03 16:00:00,2025,7,3,16,976,38.310409,21.784038,25.16,53948.8,-171.19,389.4,261.58,7.88,7.88,95.34,35.7,35180.02
20,21.0,2025-07-03 17:00:00,2025,7,3,17,976,38.310409,21.784038,24.7,56596.52,-170.08,432.16,175.68,8.01,8.01,95.85,37.81,36906.59
29,30.0,2025-07-03 18:00:00,2025,7,3,18,976,38.310409,21.784038,24.63,56950.69,-170.49,76.01,212.74,8.04,8.04,96.25,38.09,37137.55
38,39.0,2025-07-03 19:00:00,2025,7,3,19,976,38.310409,21.784038,24.66,56709.95,-171.16,135.79,237.97,7.99,7.99,96.0,37.9,36980.56
47,48.0,2025-07-03 20:00:00,2025,7,3,20,976,38.310409,21.784038,24.63,56174.98,-173.95,198.99,142.885,7.84,7.84,94.22,37.47,36631.71
56,57.0,2025-07-03 21:00:00,2025,7,3,21,976,38.310409,21.784038,24.55,57077.96,-177.41,74.23,47.8,7.7,7.7,92.31,38.19,37220.54
65,66.0,2025-07-03 22:00:00,2025,7,3,22,976,38.310409,21.784038,24.41,56992.14,-178.25,60.31,37.83,7.61,7.61,90.99,38.13,37164.58
74,75.0,2025-07-03 23:00:00,2025,7,3,23,976,38.310409,21.784038,24.23,57045.85,-176.87,74.9,44.46,7.64,7.64,91.03,38.17,37199.6
83,84.0,2025-07-04 00:00:00,2025,7,4,0,976,38.310409,21.784038,24.12,56996.83,-177.35,190.24,98.3,7.63,7.63,90.88,38.13,37167.63
92,93.0,2025-07-04 01:00:00,2025,7,4,1,976,38.310409,21.784038,23.92,56991.82,-176.6,50.17,44.75,7.6,7.6,90.46,38.13,37164.37
101,102.0,2025-07-04 02:00:00,2025,7,4,2,976,38.310409,21.784038,23.9,57041.27,-176.28,41.91,27.67,7.62,7.62,90.65,38.17,37196.61
110,111.0,2025-07-04 03:00:00,2025,7,4,3,976,38.310409,21.784038,23.79,56967.32,-175.54,37.9,35.55,7.7,7.7,91.36,38.11,37148.39
119,120.0,2025-07-04 04:00:00,2025,7,4,4,976,38.310409,21.784038,23.8,56830.98,-173.95,37.23,57.96,7.82,7.82,92.84,38.0,37059.48
128,129.0,2025-07-04 05:00:00,2025,7,4,5,976,38.310409,21.784038,23.8,56973.43,-175.2,218.5,54.04,7.86,7.86,93.38,38.11,37152.38
137,138.0,2025-07-04 06:00:00,2025,7,4,6,976,38.310409,21.784038,23.77,57072.15,-175.37,83.08,45.66,7.85,7.85,93.1,38.19,37216.75
146,147.0,2025-07-04 07:00:00,2025,7,4,7,976,38.310409,21.784038,23.79,57064.04,-171.71,116.88,46.06,7.97,7.97,94.68,38.18,37211.46
155,156.0,2025-07-04 08:00:00,2025,7,4,8,976,38.310409,21.784038,23.98,57072.64,-169.51,91.25,54.96,8.01,8.01,95.37,38.19,37217.07
164,165.0,2025-07-04 09:00:00,2025,7,4,9,976,38.310409,21.784038,24.08,55682.8,-168.5,354.57,155.95,8.12,8.12,96.67,37.08,36310.76
173,174.0,2025-07-04 10:00:00,2025,7,4,10,976,38.310409,21.784038,24.32,57069.35,-172.08,69.98,39.75,8.1,8.1,96.68,38.19,37214.93
182,183.0,2025-07-04 11:00:00,2025,7,4,11,976,38.310409,21.784038,24.47,56619.87,-170.85,1698.29,41.555,8.12,8.12,97.23,37.83,36921.82
191,192.0,2025-07-04 12:00:00,2025,7,4,12,976,38.310409,21.784038,24.63,57132.63,-166.99,267.83,43.36,8.06,8.06,96.75,38.24,37256.19
